source_country,target_country,project_count,total_issued_credits,total_retired_credits,project_types
Local/Unknown,DR Congo,39,4267106.0,1652058.0,Afforestation + Reforestation; Cookstove; Hydropower; Improved Forest Management; REDD+; Unknown
United Kingdom,Uganda,71,4174957.0,2426987.0,Afforestation + Reforestation; Borehole; Clean Water; Cookstove; Hydropower; Unknown
Local/Unknown,South Africa,61,3884101.0,3879652.0,Afforestation + Reforestation; Biochar; Biomass; Centralized Solar; Cookstove; Distributed Solar; Grassland Management; Landfill; Lighting; Mass Transit; N\u2082O Destruction (Nitric Acid); Ozone Depleting Substances; Sustainable Agriculture; Unknown; Waste Gas Recovery
Local/Unknown,Egypt,13,3410566.0,199086.0,Afforestation + Reforestation; Biomass; Centralized Solar; Recycling; Waste Heat Recovery; Wetland; Wind
United Kingdom,Mozambique,31,3223550.0,2280675.0,Borehole; Centralized Solar; Clean Water; Cookstove
Local/Unknown,Sierra Leone,8,3155291.0,2712805.0,Afforestation + Reforestation; Cookstove; REDD+; Sustainable Agriculture; Unknown; Wetland
United Kingdom,Madagascar,72,3147415.0,64582.0,Biochar; Clean Water; Cookstove; Unknown
Local/Unknown,Somalia,3,2902132.0,1487223.0,Cookstove
European Union,Rwanda,106,2643908.0,1321279.0,Borehole; Clean Water; Cookstove; Energy Efficiency; Sustainable Agriculture; Unknown
France,Kenya,6,2617183.0,1614983.0,Cookstove; Sustainable Agriculture
United Kingdom,Eritrea,44,2526653.0,1772410.0,Borehole; Clean Water; Cookstove
Local/Unknown,Tanzania,60,2483983.0,854010.0,Afforestation + Reforestation; Biochar; Clean Water; Cookstove; Distributed Solar; Grassland Management; Landfill; Lighting; Methane Biodigester; Unknown; Waste Diversion
United Kingdom,Kenya,92,2462674.0,1717985.0,Afforestation + Reforestation; Borehole; Clean Water; Cookstove; Energy Efficiency; Grassland Management; Improved Irrigation Management; Methane Biodigester; REDD+; Unknown
Local/Unknown,Senegal,20,2316732.0,1044864.0,Afforestation + Reforestation; Borehole; Centralized Solar; Cookstove; Electric Vehicle; Unknown; Wetland; Wind
United Kingdom,Malawi,54,2225559.0,1659994.0,Borehole; Clean Water; Cookstove; Energy Efficiency; Lighting; Unknown
Local/Unknown,Rwanda,41,1942469.0,1265296.0,Borehole; Centralized Solar; Clean Water; Cookstove; Distributed Solar; Energy Efficiency; Lighting; Unknown
United Kingdom,Nigeria,19,1855673.0,428570.0,Afforestation + Reforestation; Clean Water; Cookstove; Unknown
United Kingdom,Zambia,24,1623672.0,448032.0,Clean Water; Cookstove; Distributed Solar; REDD+
United Kingdom,Sierra Leone,23,1547830.0,180766.0,Afforestation + Reforestation; Borehole; Clean Water; Cookstove
European Union,Egypt,5,1458443.0,382840.0,Centralized Solar; Wind
United Kingdom,Mali,4,1408799.0,1303593.0,Cookstove
Local/Unknown,Burkina Faso,80,1388055.0,666229.0,Afforestation + Reforestation; Centralized Solar; Cookstove; Distributed Solar; REDD+; Sustainable Agriculture
China,Kenya,2,1371752.0,191842.0,Clean Water; Cookstove
Local/Unknown,Central African Republic,3,1294618.0,105496.0,Afforestation + Reforestation; REDD+
Local/Unknown,Morocco,12,1247350.0,440173.0,Centralized Solar; Landfill; Sustainable Agriculture; Wind
United Kingdom,Ghana,19,1157101.0,1005778.0,Afforestation + Reforestation; Cookstove; Sustainable Agriculture; Unknown
Switzerland,Kenya,16,1136375.0,797910.0,Afforestation + Reforestation; Clean Water; Cookstove; Lighting; Unknown
United States,Uganda,29,1026321.0,614559.0,Afforestation + Reforestation; Clean Water; Cookstove; Methane Biodigester; Unknown
Local/Unknown,Mauritania,2,953204.0,727105.0,Centralized Solar; Wind
Local/Unknown,Cameroon,10,941865.0,904526.0,Afforestation + Reforestation; Compost; Cookstove; Hydropower; Improved Forest Management; Unknown; Wetland
United Kingdom,Gambia,9,896511.0,296453.0,Clean Water; Cookstove
