buyer_country,african_country,project_type,project_name,proponent,issued_credits,retired_credits,project_id,project_url
Local/Unknown,Uganda,Afforestation + Reforestation,1MTN Uganda Bamboo Planting Project,1MTN Nation UG OU,0.0,0.0,VCS4123,https://registry.verra.org/app/projectDetail/VCS/4123
Multiple (mixed),Ghana,Afforestation + Reforestation,Community Restoration of Native Ecosystems in Ghana,Multiple Proponents,0.0,0.0,VCS4126,https://registry.verra.org/app/projectDetail/VCS/4126
France,Rwanda,Afforestation + Reforestation,Agroforestry For Livelihoods Project,Livelihoods Fund SICAV SIF,0.0,0.0,VCS3998,https://registry.verra.org/app/projectDetail/VCS/3998
European Union,Senegal,Wetland,Community-based Mangrove Restoration Initiative – Lep Lep,Vlinder Austria GmbH,0.0,0.0,VCS3885,https://registry.verra.org/app/projectDetail/VCS/3885
Local/Unknown,Central African Republic,Afforestation + Reforestation,BOUTILI AFFORESTATION & AGROFORESTRY PROJECT,CENTRAFOREST,0.0,0.0,VCS3815,https://registry.verra.org/app/projectDetail/VCS/3815
Local/Unknown,Zimbabwe,REDD+,Chirisa REDD+ Project,Carbon Green Investments Guernsey Limited,0.0,0.0,VCS3811,https://registry.verra.org/app/projectDetail/VCS/3811
Local/Unknown,Kenya,Sustainable Agriculture,Boomitra Carbon Farming in East Africa through Soil Enrichment,Boomitra Inc,0.0,0.0,VCS3774,https://registry.verra.org/app/projectDetail/VCS/3774
Local/Unknown,DR Congo,REDD+,DRC REDD+ Carbon Credit Harvesting Project,R.E.D.D. Carbon Credit Harvesting L.P,0.0,0.0,VCS3711,https://registry.verra.org/app/projectDetail/VCS/3711
European Union,Kenya,Wetland,Papariko - Restoration of Degraded Mangrove Areas in Kenya,Vlinder Austria GmbH,0.0,0.0,VCS3660,https://registry.verra.org/app/projectDetail/VCS/3660
United States,South Africa,Afforestation + Reforestation,"Eastern Cape Bamboo Forestry Project, South Africa","EcoPlanet Bamboo Group, LLC",0.0,0.0,VCS3632,https://registry.verra.org/app/projectDetail/VCS/3632
